Date,Region,Branch,Product,Category,Customer_Segment,Quantity,Discount,Sales,Cost,Profit
2026-05-18,North,B12,P-D,Food,VIP,7,0.01,2781.80,1902.95,878.85
2026-05-31,Central,B12,P-A,Home,New,7,0.10,5036.00,3473.30,1562.70
2026-05-16,North,B07,P-E,Sports,New,6,0.03,6029.29,3788.71,2240.58
2026-06-11,South,B12,P-D,Food,Returning,7,0.04,2374.22,1675.82,698.40
2026-02-13,Central,B12,P-D,Food,New,6,0.03,1842.34,1297.38,544.96
2026-06-28,East,B05,P-A,Home,New,4,0.07,3305.88,2199.80,1106.08
2026-06-19,South,B01,P-E,Sports,Returning,1,0.12,1190.42,829.21,361.21
2026-06-25,Central,B04,P-D,Food,New,3,0.05,1096.41,782.43,313.98
2026-06-16,Central,B12,P-E,Sports,Returning,2,0.04,2583.81,1636.69,947.12
2026-01-30,South,B09,P-C,Beauty,Returning,2,0.09,1072.06,644.25,427.81
2026-01-14,Central,B08,P-B,Electronics,New,6,0.07,11234.29,8787.07,2447.22
2026-04-07,South,B11,P-C,Beauty,Returning,3,0.04,2050.26,1179.78,870.48
2026-05-03,South,B06,P-D,Food,Returning,4,0.12,1115.73,859.97,255.76
2026-02-20,Central,B06,P-E,Sports,New,3,0.13,3040.21,2130.27,909.94
2026-05-21,Central,B03,P-B,Electronics,Returning,4,0.14,6767.16,5769.27,997.89
2026-05-09,North,B07,P-A,Home,New,4,0.12,3394.40,2394.43,999.97
2026-05-28,Central,B08,P-A,Home,VIP,5,0.01,4349.12,2735.45,1613.67
2026-03-29,South,B12,P-E,Sports,Returning,2,0.01,2215.54,1362.17,853.37
2026-06-01,South,B10,P-D,Food,New,2,0.00,701.08,477.60,223.48
2026-04-23,Central,B09,P-D,Food,VIP,7,0.06,2459.79,1772.72,687.07
2026-06-14,South,B08,P-B,Electronics,Returning,3,0.15,4823.93,4593.55,230.38
2026-06-06,South,B01,P-B,Electronics,Returning,2,0.16,3147.75,3035.25,112.50
2026-01-12,Central,B08,P-A,Electronics,VIP,7,0.07,5725.84,3828.92,1896.92
2026-04-17,East,B01,P-D,Food,Returning,1,0.04,318.30,226.55,91.75
2026-02-19,Central,B12,P-E,Sports,Returning,5,0.07,5893.44,3876.97,2016.47
2026-05-31,East,B03,P-D,Food,Returning,5,0.07,1564.09,1139.21,424.88
2026-06-18,East,B07,P-E,Sports,Returning,2,0.07,2306.45,1516.14,790.31
2026-04-17,South,B06,P-A,Home,Returning,1,0.06,930.25,614.03,316.22
2026-03-23,South,B11,P-C,Beauty,Returning,6,0.03,4055.58,2303.47,1752.11
2026-03-14,Central,B07,P-A,Home,New,4,0.06,3651.46,2408.72,1242.74
2026-01-23,North,B06,P-E,Sports,Returning,7,0.01,9414.82,5796.44,3618.38
2026-03-17,Central,B04,P-D,Food,Returning,3,0.14,805.43,640.22,165.21
2026-03-26,East,B05,P-C,Beauty,Returning,7,0.03,4113.60,2321.79,1791.81
2026-04-21,South,B02,P-A,Home,New,6,0.15,5203.04,3781.28,1421.76
2026-02-15,North,B01,P-D,Food,New,3,0.05,948.44,680.09,268.35
2026-06-09,South,B12,P-E,Sports,Returning,6,0.09,6229.78,4172.48,2057.30
2026-06-13,South,B11,P-B,Electronics,New,4,0.19,7025.54,7060.39,-34.85
2026-01-06,South,B09,P-B,Electronics,New,2,0.18,3788.50,3734.23,54.27
2026-06-23,East,B02,P-B,Electronics,Returning,2,0.13,3402.85,2865.23,537.62
2026-01-27,North,B10,P-D,Food,Returning,3,0.10,967.38,727.56,239.82
2026-01-02,East,B09,P-D,Food,Returning,5,0.05,1851.56,1320.27,531.29
2026-03-26,Central,B01,P-C,Beauty,New,4,0.02,2530.67,1413.84,1116.83
2026-06-12,Central,B04,P-D,Food,New,7,0.09,2442.19,1826.81,615.38
2026-05-25,North,B02,P-C,Beauty,Returning,4,0.10,2147.31,1314.01,833.30
2026-06-14,South,B01,P-B,Electronics,New,3,0.20,5270.10,5345.84,-75.74
2026-06-26,South,B10,P-E,Sports,Returning,2,0.14,2312.05,1634.03,678.02
2026-01-06,North,B07,P-E,Sports,New,1,0.02,1110.50,692.87,417.63
2026-01-02,Central,B06,P-B,Electronics,Returning,2,0.09,3781.71,3038.21,743.50
2026-05-07,Central,B07,P-A,Home,Returning,6,0.08,5163.03,3468.08,1694.95
2026-03-26,Central,B02,P-C,Beauty,New,5,0.02,3198.26,1790.49,1407.77
2026-05-13,Central,B08,P-C,Beauty,New,7,0.21,3248.45,2274.90,973.55
2026-02-18,Central,B09,P-E,Sports,New,5,0.06,6106.02,3980.18,2125.84
2026-06-12,Central,B01,P-A,Home,Returning,4,0.00,3633.38,2252.70,1380.68
2026-03-19,North,B12,P-E,Sports,Returning,2,0.11,2270.16,1549.05,721.11
